Pos,Game,Year,Genre,Publisher,North America,Europe,Japan,Rest of World,Global
111.0,The Walking Dead: A Telltale Games Series,2013,Misc,Square Enix,0.1,0.0,0.01,0.04,0.15
112.0,Toukiden 2,2016,Action,Tecmo Koei,0.02,0.0,0.13,0.01,0.15
113.0,Dengeki Bunko Fighting Climax,2014,Fighting,Sega,0.05,0.0,0.08,0.02,0.15
114.0,One Piece Unlimited World: Red,2014,Misc,Namco Bandai Games,0.04,0.04,0.04,0.03,0.15
115.0,Fate/Extella: The Umbral Star,2016,Action,PQube,0.03,0.0,0.1,0.01,0.15
116.0,Attack on Titan (KOEI),2016,Action,Tecmo Koei,0.0,0.0,0.15,0.0,0.15
117.0,LEGO Ninjago: Shadow of Ronin,2015,Action,Warner Bros. Interactive Entertainment,0.01,0.11,0.0,0.03,0.15
118.0,MLB 13: The Show,2013,Sports,Sony Computer Entertainment,0.11,0.0,0.0,0.04,0.15
119.0,Pro Baseball Spirits 2015,2015,Action,Konami Digital Entertainment,0.0,0.0,0.14,0.0,0.14
120.0,F1 2011,2011,Racing,Codemasters,0.03,0.08,0.01,0.02,0.14
121.0,Steins;Gate 0,2015,Adventure,PQube,0.0,0.07,0.06,0.02,0.14
122.0,The Walking Dead: Season Two,2014,Misc,Telltale Games,0.08,0.01,0.02,0.03,0.14
123.0,Gundam Breaker 3,2016,Action,Namco Bandai Games,0.0,0.0,0.14,0.0,0.14
124.0,Ys VIII: Lacrimosa of Dana,2016,Role-Playing,NIS America,0.01,0.01,0.11,0.01,0.14
125.0,Kagero: Darkside Princess,2014,Misc,Tecmo Koei,0.02,0.03,0.07,0.02,0.14
126.0,Touch My Katamari ,2011,Misc,Namco Bandai Games,0.07,0.04,0.0,0.03,0.14
127.0,Hyperdimension Neptunia,2013,Misc,Compile Heart,0.05,0.0,0.07,0.02,0.14
128.0,Resident Evil: Revelations 2,2015,Action,Capcom,0.0,0.04,0.08,0.01,0.13
129.0,Injustice: Gods Among Us,2013,Fighting,Warner Bros. Interactive Entertainment,0.09,0.0,0.0,0.03,0.13
130.0,Makai Shin Trillion,2014,Misc,Idea Factory,0.04,0.01,0.07,0.02,0.13
131.0,Reality Fighters,2012,Fighting,Sony Computer Entertainment,0.05,0.06,0.0,0.03,0.13
132.0,Hyperdimension Neptunia U: Action Unleashed,2014,Action,Idea Factory International,0.04,0.01,0.06,0.02,0.13
133.0,MegaTagmension Blanc + Neptune VS Zombies,2015,Action,Idea Factory International,0.04,0.01,0.06,0.02,0.13
